Name,Link,Ratings,Total Buys,Price,Deal Available,Original Price,Coupon Savings
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty, 83CRA01SIN",https://www.amazon.in/Lenovo-V15-Antiglare-Lifetime-83CRA01SIN/dp/B0DDY1HWZL/ref=sr_1_11?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-11,74,200+ bought in past month,"₹ 41,990",No Deal,"₹58,999","Save ₹2,000"
"HP 15s, 12th Gen Intel Core i5-1235U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), FY5008TU Anti-Glare, 15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, Backlit KB, HD Camera, fq5329tu",https://www.amazon.in/HP-i5-1235U-FY5008TU-Anti-Glare-15-6-inch/dp/B0CJM5Z6FY/ref=sr_1_12?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-12,227,200+ bought in past month,"₹ 45,022",No Deal,"₹58,999","Save ₹2,000"
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN",https://www.amazon.in/Lenovo-IdeaPad-Celeron-Warranty-82V6009LIN/dp/B0D6Z2H2HR/ref=sr_1_13?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-13,274,200+ bought in past month,"₹ 22,990",Limited time deal,"₹58,999","Save ₹2,000"
"Lenovo LOQ 2024 AMD Ryzen 5 7235HS 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (12GB/512GB SSD/Win 11/NVIDIA RTX 3050 6GB Graphics/100% sRGB/Office 21/3 Mon. Game Pass/Grey/2.4Kg), 83JC0031IN",https://www.amazon.in/Lenovo-7235HS-300Nits-Graphics-83JC0031IN/dp/B0D7VMYDJY/ref=sr_1_14?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-14,17,100+ bought in past month,"₹ 62,490",Limited time deal,"₹58,999","Save ₹2,000"
"HP 15, 13th Gen Intel Core i5-1334U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Iris Xe Graphics, FHD Camera, Backlit KB, fd0316TU/fd0315TU",https://www.amazon.in/HP-i5-1334U-Anti-glare-15-6-inch-Graphics/dp/B0D4LWYWF9/ref=sr_1_15?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-15,109,400+ bought in past month,"₹ 54,990",No Deal,"₹58,999","Save ₹2,000"
"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 512 GB SSD(Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6inch(39.6Cm), FHD Laptop, Intel UHD Graphics, Dual Speakers, HD Camera, fy5006tu",https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6inch-Graphics/dp/B0CJBL2QWY/ref=sr_1_16?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-16,694,100+ bought in past month,"₹ 34,990",Limited time deal,"₹58,999","Save ₹2,000"
"Dell [Smartchoice] Windows 11 Home 3520 Laptop, Intel Core i3-1215U, 12Th Gen (8GB RAM /512GB SSD /Window 11 /MS Office' 21 /15.6""(39.62 Cm) FHD Display /15 Month Mcafee /Black /1.69Kg Thin & Light",https://www.amazon.in/Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_17?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-17,901,400+ bought in past month,"₹ 34,990",No Deal,"₹58,999","Save ₹2,000"
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15.6"" (39.62cm) FHDIPS300 Nits Thin&Light Laptop (16GB/512GB SSD/Intel UHDGraphics/Win11/Office Home 2024/1YrADP Free/ARCTIC-Grey/1.6Kg), 83EM00GTIN",https://www.amazon.in/Lenovo-i7-13620H-UHDGraphics-ARCTIC-Grey-83EM00GTIN/dp/B0DL5N2TFC/ref=sr_1_18?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-18,786,300+ bought in past month,"₹ 64,490",Limited time deal,"₹58,999","Save ₹2,000"
"HP 15, 13th Gen Intel Core i3-1315U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Grey, 1.59kg), Anti-Glare, Micro-Edge,15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, 1080p FHD Camera, fd0006TU",https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-15-6-inch/dp/B0C3RF3HT3/ref=sr_1_19?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-19,"1,926",300+ bought in past month,"₹ 38,690",No Deal,"₹58,999","Save ₹2,000"
"HP 15, 12th Gen Intel Core i5-1235U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Intel Iris Xe Graphics, HD Camera, Backlit Keyboard, fy5009tu",https://www.amazon.in/HP-Keyboard-15-6-inch-fy5009TU-fd0111tu/dp/B0D4M66F6R/ref=sr_1_21?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-21,353,300+ bought in past month,"₹ 52,990",No Deal,"₹58,999","Save ₹2,000"
