Name,Link,Ratings,Total Buys,Price,Deal Available,Original Price,Coupon Savings,Company,Discount Price
"HP 15, 13th Gen Intel Core i5-1334U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Iris Xe Graphics, FHD Camera, Backlit KB, fd0316TU/fd0315TU",https://www.amazon.in/HP-i5-1334U-Anti-glare-15-6-inch-Graphics/dp/B0D4LWYWF9/ref=sr_1_11?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-11,113,400+ ,54990,No Deal,92900,Save 2000,Hp,37910
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.63 kg), E1504FA-NJ542WS",https://www.amazon.in/ASUS-Vivobook-Laptop-Windows-E1504FA-NJ542WS/dp/B0BTWF2BQX/ref=sr_1_12?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-12,132,300+ ,40990,Limited time deal,92900,Save 2000,Asus,51910
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty, 83CRA01SIN",https://www.amazon.in/Lenovo-V15-Antiglare-Lifetime-83CRA01SIN/dp/B0DDY1HWZL/ref=sr_1_13?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-13,75,200+ ,41990,No Deal,92900,Save 2000,Lenovo,50910
"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX",https://www.amazon.in/HP-GeForce-Graphics-Response-15-fb0106AX/dp/B0BWS9YNCX/ref=sr_1_14?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-14,220,300+ ,60990,No Deal,92900,Save 2000,Hp,31910
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN",https://www.amazon.in/Lenovo-Celeron-1920x1080-Antiglare-82QYA00MIN/dp/B0C28FKJXG/ref=sr_1_15?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-15,450,200+ ,20740,No Deal,92900,Save 2000,Lenovo,72160
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch (39.6cm) FHD Laptop, Intel UHD Graphics, HD Camera, Dual Speakers, fy5011TU",https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6-inch-Graphics/dp/B0D4LZMJ5Z/ref=sr_1_16?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-16,92,200+ ,34990,No Deal,92900,Save 2000,Hp,57910
"HP 15s, 12th Gen Intel Core i5-1235U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), FY5008TU Anti-Glare, 15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, Backlit KB, HD Camera, fq5329tu",https://www.amazon.in/HP-i5-1235U-FY5008TU-Anti-Glare-15-6-inch/dp/B0CJM5Z6FY/ref=sr_1_17?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-17,227,200+ ,44990,Limited time deal,92900,Save 2000,Hp,47910
"Lenovo LOQ Intel Core i5-13450HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 3050 6GB Graphics/100% sRGB/Office 21/3 Month Game Pass/Grey/2.4Kg), 83DV00BHIN",https://www.amazon.in/Lenovo-i5-13450HX-300Nits-Graphics-83DV00BHIN/dp/B0CX8V9C7D/ref=sr_1_18?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-18,253,100+ ,72990,No Deal,92900,Save 2000,Lenovo,19910
"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U - (16GB/512GB SSD/Intel UHD Graphics/DOS) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg",https://www.amazon.in/Lenovo-Intel-Core-12th-1235U/dp/B0DJCNMC4C/ref=sr_1_19?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-19,14,100+ ,35310,No Deal,92900,Save 2000,Lenovo,57590
"HP 15, 13th Gen Intel Core i3-1315U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Grey, 1.59kg), Anti-Glare, Micro-Edge,15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, 1080p FHD Camera, fd0006TU",https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-15-6-inch/dp/B0C3RF3HT3/ref=sr_1_20?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-20,1926,300+ ,38590,No Deal,92900,Save 2000,Hp,54310
